進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),115年4月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,8489939
出口總值(含復出口),115年4月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,2101062
出口總值(含復出口),115年4月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,10847
出口總值(含復出口),115年4月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,101789
出口總值(含復出口),115年4月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,186324
出口總值(含復出口),115年4月,848690,零件及附件, Parts and accessories,251907
出口總值(含復出口),115年4月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,13108
出口總值(含復出口),115年4月,850440,靜電式變流器, Static converters,275173
出口總值(含復出口),115年4月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,1579349
出口總值(含復出口),115年4月,853400,印刷電路, Printed circuit,506129
出口總值(含復出口),115年4月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,121169
出口總值(含復出口),115年4月,854149,其他, Other,18596
出口總值(含復出口),115年4月,854232,記憶體, Memories,5045041
出口總值(含復出口),115年4月,854470,光纖電纜, Optical fibre cables,10823
出口總值(含復出口),115年4月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1072
出口總值(含復出口),115年5月,841459,其他, Other,26890
出口總值(含復出口),115年5月,841950,熱交換器, Heat exchange units,8548
出口總值(含復出口),115年5月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,10452207
出口總值(含復出口),115年5月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,2430131
出口總值(含復出口),115年5月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,13874
出口總值(含復出口),115年5月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,108552
出口總值(含復出口),115年5月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,229057
出口總值(含復出口),115年5月,848690,零件及附件, Parts and accessories,355182
出口總值(含復出口),115年5月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,16692
出口總值(含復出口),115年5月,850440,靜電式變流器, Static converters,339352
出口總值(含復出口),115年5月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,1781411
出口總值(含復出口),115年5月,853400,印刷電路, Printed circuit,551872
出口總值(含復出口),115年5月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,156667
出口總值(含復出口),115年5月,854149,其他, Other,21474
出口總值(含復出口),115年5月,854232,記憶體, Memories,6413190
出口總值(含復出口),115年5月,854470,光纖電纜, Optical fibre cables,13542
出口總值(含復出口),115年5月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1629
出口總值(含復出口),115年6月(初步值),841459,其他, Other,25271
出口總值(含復出口),115年6月(初步值),841950,熱交換器, Heat exchange units,7837
出口總值(含復出口),115年6月(初步值),847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,9731761
出口總值(含復出口),115年6月(初步值),847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,2632757
出口總值(含復出口),115年6月(初步值),847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,12602
出口總值(含復出口),115年6月(初步值),848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,91060
出口總值(含復出口),115年6月(初步值),848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,226793
出口總值(含復出口),115年6月(初步值),848690,零件及附件, Parts and accessories,281412
出口總值(含復出口),115年6月(初步值),850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,13514
出口總值(含復出口),115年6月(初步值),850440,靜電式變流器, Static converters,275919
出口總值(含復出口),115年6月(初步值),851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,1769705
出口總值(含復出口),115年6月(初步值),853400,印刷電路, Printed circuit,526818
出口總值(含復出口),115年6月(初步值),853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,133319
出口總值(含復出口),115年6月(初步值),854149,其他, Other,20670
出口總值(含復出口),115年6月(初步值),854232,記憶體, Memories,5203884
出口總值(含復出口),115年6月(初步值),854470,光纖電纜, Optical fibre cables,14963
出口總值(含復出口),115年6月(初步值),900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1265
